Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Pace,Elev Gain
Running,2015-12-08 19:04:29,8.89,655,00:43:03,--,--,4:50,27
Running,2015-12-06 14:26:31,20.01,1457,01:29:05,--,--,4:27,70
Running,2015-12-01 19:05:27,4.44,332,00:45:52,--,--,10:20,22
Running,2015-11-26 20:24:39,10,733,00:49:53,--,--,4:59,33
Running,2015-11-10 21:01:48,20.01,1483,01:35:12,--,--,4:45,74
Running,2015-10-31 12:24:36,10,737,00:50:08,--,--,5:01,31
Running,2015-10-25 10:01:47,12.04,891,00:54:14,--,--,4:30,37
Running,2015-10-24 16:32:29,10,733,00:46:18,--,--,4:38,28
Running,2015-10-20 19:07:37,9.81,697,00:50:57,--,--,5:12,32
Running,2015-10-13 19:09:06,8.6,638,00:43:25,--,--,5:03,24
